C,N,P,S,V,Ni,Nb,Al,Ti,Fe,Hf,Mo,Mn,Co,Si,Cr,Cu,DOI,url,SFE,Error,title,Author,temperature,experiment_type
0.015,0.006,0,0,0,20,0,0,0,59.979,0,0,0,0,0,20,0,0,0,40,0.2,"Compositional Effects on the Deformation Modes, Annealing Twin Frequencies, and Stacking Fault Energies of Austenitic Stainless Steels","Fawley, R.",300,TEM
0.009,0.006,0,0,0,25,0,0,0,54.985,0,0,0,0,0,20,0,0,0,38,0.2,"Compositional Effects on the Deformation Modes, Annealing Twin Frequencies, and Stacking Fault Energies of Austenitic Stainless Steels","Fawley, R.",300,TEM
0.011,0.006,0,0,0,30,0,0,0,49.983,0,0,0,0,0,20,0,0,0,34,0.2,"Compositional Effects on the Deformation Modes, Annealing Twin Frequencies, and Stacking Fault Energies of Austenitic Stainless Steels","Fawley, R.",300,TEM
0.012,0.004,0,0,0,20,0,0,0,69.984,0,0,0,0,0,10,0,0,0,53,0.2,"Compositional Effects on the Deformation Modes, Annealing Twin Frequencies, and Stacking Fault Energies of Austenitic Stainless Steels","Fawley, R.",300,TEM
0.019,0.005,0,0,0,20,0,0,0,64.976,0,0,0,0,0,15,0,0,0,40,0.2,"Compositional Effects on the Deformation Modes, Annealing Twin Frequencies, and Stacking Fault Energies of Austenitic Stainless Steels","Fawley, R.",300,TEM
0.022,0.005,0,0,0,20,0,0,0,54.973,0,0,0,0,0,25,0,0,0,45,0.2,"Compositional Effects on the Deformation Modes, Annealing Twin Frequencies, and Stacking Fault Energies of Austenitic Stainless Steels","Fawley, R.",300,TEM
0.036,0.005,0,0,0,20,0,0,0,49.959,0,0,0,0,0,30,0,0,0,57,0.2,"Compositional Effects on the Deformation Modes, Annealing Twin Frequencies, and Stacking Fault Energies of Austenitic Stainless Steels","Fawley, R.",300,TEM
0.012,0.044,0,0,0,10,0,0,0,69.944,0,0,0,0,0,20,0,0,0,23,0.2,"Compositional Effects on the Deformation Modes, Annealing Twin Frequencies, and Stacking Fault Energies of Austenitic Stainless Steels","Fawley, R.",300,TEM
0.01,0.035,0,0,0,15,0,0,0,64.955,0,0,0,0,0,20,0,0,0,34,0.2,"Compositional Effects on the Deformation Modes, Annealing Twin Frequencies, and Stacking Fault Energies of Austenitic Stainless Steels","Fawley, R.",300,TEM
0.018,0.051,0,0,0,20,0,0,0,59.931,0,0,0,0,0,20,0,0,0,38,0.2,"Compositional Effects on the Deformation Modes, Annealing Twin Frequencies, and Stacking Fault Energies of Austenitic Stainless Steels","Fawley, R.",300,TEM
0.009,0.033,0,0,0,25,0,0,0,54.958,0,0,0,0,0,20,0,0,0,38,0.2,"Compositional Effects on the Deformation Modes, Annealing Twin Frequencies, and Stacking Fault Energies of Austenitic Stainless Steels","Fawley, R.",300,TEM
0.01,0.029,0,0,0,30,0,0,0,49.961,0,0,0,0,0,20,0,0,0,34,0.2,"Compositional Effects on the Deformation Modes, Annealing Twin Frequencies, and Stacking Fault Energies of Austenitic Stainless Steels","Fawley, R.",300,TEM
0.012,0.013,0,0,0,20,0,0,0,69.975,0,0,0,0,0,10,0,0,0,48,0.2,"Compositional Effects on the Deformation Modes, Annealing Twin Frequencies, and Stacking Fault Energies of Austenitic Stainless Steels","Fawley, R.",300,TEM
0.012,0.011,0,0,0,20,0,0,0,64.977,0,0,0,0,0,15,0,0,0,44,0.2,"Compositional Effects on the Deformation Modes, Annealing Twin Frequencies, and Stacking Fault Energies of Austenitic Stainless Steels","Fawley, R.",300,TEM
0.017,0.047,0,0,0,20,0,0,0,54.936,0,0,0,0,0,25,0,0,0,47,0.2,"Compositional Effects on the Deformation Modes, Annealing Twin Frequencies, and Stacking Fault Energies of Austenitic Stainless Steels","Fawley, R.",300,TEM
0.027,0.003,0,0,0,20,0,0,0,59.97,0,0,0,0,0,20,0,0,0,43,0.2,"Compositional Effects on the Deformation Modes, Annealing Twin Frequencies, and Stacking Fault Energies of Austenitic Stainless Steels","Fawley, R.",300,TEM
0.05,0.01,0,0,0,30,0,0,0,49.94,0,0,0,0,0,20,0,0,0,47,0.2,"Compositional Effects on the Deformation Modes, Annealing Twin Frequencies, and Stacking Fault Energies of Austenitic Stainless Steels","Fawley, R.",300,TEM
0.28,0,0,0,0,0,0,1.19,0,74.97,0,0,18.8,0,0,4.76,0,10.1016/0921-5093(94)09751-8,http://www.sciencedirect.com/science/article/pii/0921509394097518,20.9,0,Effect of aluminium on deformation mode and mechanical properties of austenitic Fe-Mn-Cr-Al-C alloys,"Oh, B.W.",300,TEM-WBDF
0.27,0,0,0,0,0,0,2.55,0,72.89,0,0,19.4,0,0,4.89,0,10.1016/0921-5093(94)09751-8,http://www.sciencedirect.com/science/article/pii/0921509394097518,30.5,0,Effect of aluminium on deformation mode and mechanical properties of austenitic Fe-Mn-Cr-Al-C alloys,"Oh, B.W.",300,TEM-WBDF
0.27,0,0,0,0,0,0,3.28,0,72.95,0,0,18.7,0,0,4.8,0,10.1016/0921-5093(94)09751-8,http://www.sciencedirect.com/science/article/pii/0921509394097518,39.4,0,Effect of aluminium on deformation mode and mechanical properties of austenitic Fe-Mn-Cr-Al-C alloys,"Oh, B.W.",300,TEM-WBDF
0.28,0,0,0,0,0,0,3.98,0,70.77,0,0,20.1,0,0,4.87,0,10.1016/0921-5093(94)09751-8,http://www.sciencedirect.com/science/article/pii/0921509394097518,47.5,0,Effect of aluminium on deformation mode and mechanical properties of austenitic Fe-Mn-Cr-Al-C alloys,"Oh, B.W.",300,TEM-WBDF
0.02,0.61,0,0,0,0,0,0,0,71.06,0,0,9.7,0,0.31,18.3,0,10.1007/s11661-012-1423-y,http://link.springer.com/article/10.1007/s11661-012-1423-y,19.3,0.0104,Effect of Carbon Fraction on Stacking Fault Energy of Austenitic Stainless Steels,"Lee, Tae-ho",300,Neutron Diffraction
0.24,0.35,0,0,0,0,0,0,0,71.61,0,0,9.51,0,0.23,18.06,0,10.1007/s11661-012-1423-y,http://link.springer.com/article/10.1007/s11661-012-1423-y,20.8,0.0048,Effect of Carbon Fraction on Stacking Fault Energy of Austenitic Stainless Steels,"Lee, Tae-ho",300,Neutron Diffraction
0.3,0.32,0,0,0,0,0,0,0,71.58,0,0,9.61,0,0.13,18.06,0,10.1007/s11661-012-1423-y,http://link.springer.com/article/10.1007/s11661-012-1423-y,22.5,0.0044,Effect of Carbon Fraction on Stacking Fault Energy of Austenitic Stainless Steels,"Lee, Tae-ho",300,Neutron Diffraction
0.03,0.01,0,0,0,5.9,0,0,0,69.65,0,0.01,7.1,0,1.1,16.2,0,10.1107/S1600576714007109,http://scripts.iucr.org/cgi-bin/paper?S1600576714007109,17.5,0.08,Stacking fault energy in austenitic steels determined by using <i>in situ</i> X-ray diffraction during bending,"Rafaja, D.",300,XRD
0.05,0.04,0,0,0,3.7,0,0,0,72,0,0.01,6.6,0,0.9,16.7,0,10.1107/S1600576714007109,http://scripts.iucr.org/cgi-bin/paper?S1600576714007109,8.1,0.111111111,Stacking fault energy in austenitic steels determined by using <i>in situ</i> X-ray diffraction during bending,"Rafaja, D.",300,XRD
0.62,0,0,0,0,0,0,0.01,0,81.71,0,0,17.65,0,0.01,0,0,10.1016/j.actamat.2013.02.031,http://www.sciencedirect.com/science/article/pii/S1359645413001535,13.8,0,The effects of Si on the mechanical twinning and strain hardening of Fe–18Mn–0.6C twinning-induced plasticity steel,"Jeong, Kookhyun",300,XRD
0.58,0,0,0,0,0,0,1.54,0,80.32,0,0,17.51,0,0.05,0,0,10.1016/j.actamat.2013.02.031,http://www.sciencedirect.com/science/article/pii/S1359645413001535,29.1,0,The effects of Si on the mechanical twinning and strain hardening of Fe–18Mn–0.6C twinning-induced plasticity steel,"Jeong, Kookhyun",300,XRD
0.59,0,0,0,0,0,0,0.03,0,80.09,0,0,17.7,0,1.59,0,0,10.1016/j.actamat.2013.02.031,http://www.sciencedirect.com/science/article/pii/S1359645413001535,19.3,0,The effects of Si on the mechanical twinning and strain hardening of Fe–18Mn–0.6C twinning-induced plasticity steel,"Jeong, Kookhyun",300,XRD
0,0,0,0,0,14.1,0,0,0,68.09,0,0,0,0,0.01,17.8,0,10.1007/BF03038370,http://link.springer.com/article/10.1007/BF03038370,50,0,"The influence of alloying, temperature, and related effects on the stacking fault energy",Gallagher,300,TEM
0,0,0,0,0,14,0,0,0,67.4,0,0,0,0,0.9,17.7,0,10.1007/BF03038370,http://link.springer.com/article/10.1007/BF03038370,32,0,"The influence of alloying, temperature, and related effects on the stacking fault energy",Gallagher,300,TEM
0,0,0,0,0,13.55,0,0,0,67.19,0,0,0,0,1.86,17.4,0,10.1007/BF03038370,http://link.springer.com/article/10.1007/BF03038370,26,0,"The influence of alloying, temperature, and related effects on the stacking fault energy",Gallagher,300,TEM
0,0,0,0,0,13.75,0,0,0,66.26,0,0,0,0,2.79,17.2,0,10.1007/BF03038370,http://link.springer.com/article/10.1007/BF03038370,22,0,"The influence of alloying, temperature, and related effects on the stacking fault energy",Gallagher,300,TEM
0,0,0,0,0,13.7,0,0,0,65.54,0,0,0,0,3.66,17.1,0,10.1007/BF03038370,http://link.springer.com/article/10.1007/BF03038370,21,0,"The influence of alloying, temperature, and related effects on the stacking fault energy",Gallagher,300,TEM
0.047,0.205,0,0,0,3.71,0,0,0,71.218,0,0.05,6.74,0,0.32,17.48,0.23,10.1007/s11661-013-2175-z,http://link.springer.com/article/10.1007/s11661-013-2175-z,10.63,0.0508,A Stacking Fault Energy Perspective into the Uniaxial Tensile Deformation Behavior and Microstructure of a Cr-Mn Austenitic Steel,"Barman, H.",273,XRD
0.047,0.205,0,0,0,3.71,0,0,0,71.218,0,0.05,6.74,0,0.32,17.48,0.23,10.1007/s11661-013-2175-z,http://link.springer.com/article/10.1007/s11661-013-2175-z,13.2,0,A Stacking Fault Energy Perspective into the Uniaxial Tensile Deformation Behavior and Microstructure of a Cr-Mn Austenitic Steel,"Barman, H.",293,XRD
0.047,0.205,0,0,0,3.71,0,0,0,71.218,0,0.05,6.74,0,0.32,17.48,0.23,10.1007/s11661-013-2175-z,http://link.springer.com/article/10.1007/s11661-013-2175-z,15.08,0,A Stacking Fault Energy Perspective into the Uniaxial Tensile Deformation Behavior and Microstructure of a Cr-Mn Austenitic Steel,"Barman, H.",323,XRD
0.047,0.205,0,0,0,3.71,0,0,0,71.218,0,0.05,6.74,0,0.32,17.48,0.23,10.1007/s11661-013-2175-z,http://link.springer.com/article/10.1007/s11661-013-2175-z,36.35,0,A Stacking Fault Energy Perspective into the Uniaxial Tensile Deformation Behavior and Microstructure of a Cr-Mn Austenitic Steel,"Barman, H.",423,XRD
0.047,0.205,0,0,0,3.71,0,0,0,71.218,0,0.05,6.74,0,0.32,17.48,0.23,10.1007/s11661-013-2175-z,http://link.springer.com/article/10.1007/s11661-013-2175-z,40.39,0.0574,A Stacking Fault Energy Perspective into the Uniaxial Tensile Deformation Behavior and Microstructure of a Cr-Mn Austenitic Steel,"Barman, H.",473,XRD
0.02,0,0,0,0,7.2,0,0,0,61.12,0,0,18.3,0,5.76,7.6,0,10.1016/S0167-577X(98)00172-4,http://www.sciencedirect.com/science/article/pii/S0167577X98001724,9.86,0,Stacking fault energy of iron-base shape memory alloys,Li J.C.,300,TEM
0.02,0,0,0,0,6.34,0,0,0,63.68,0,0,15.52,0,5.89,8.55,0,10.1016/S0167-577X(98)00172-4,http://www.sciencedirect.com/science/article/pii/S0167577X98001724,8.31,0,Stacking fault energy of iron-base shape memory alloys,Li J.C.,300,TEM
0.02,0,0,0,0,5.01,0,0,0,65.71,0,0,14.67,0,5.87,8.72,0,10.1016/S0167-577X(98)00172-4,http://www.sciencedirect.com/science/article/pii/S0167577X98001724,3.26,0,Stacking fault energy of iron-base shape memory alloys,Li J.C.,300,TEM
0.02,0,0,0,0,5.51,0,0,0,65.92,0,0,14.72,0,5.86,7.97,0,10.1016/S0167-577X(98)00172-4,http://www.sciencedirect.com/science/article/pii/S0167577X98001724,7.19,0,Stacking fault energy of iron-base shape memory alloys,Li J.C.,300,TEM
0.02,0,0,0,0,6.1,0,0,0,64.48,0,0,14.2,0,6.1,9.1,0,10.1016/S0167-577X(98)00172-4,http://www.sciencedirect.com/science/article/pii/S0167577X98001724,4.65,0,Stacking fault energy of iron-base shape memory alloys,Li J.C.,300,TEM
0.02,0,0,0,0,7.56,0,0,0,70.5,0,0,7.82,0,6.22,7.88,0,10.1016/S0167-577X(98)00172-4,http://www.sciencedirect.com/science/article/pii/S0167577X98001724,6.39,0,Stacking fault energy of iron-base shape memory alloys,Li J.C.,300,TEM
0.18,0,0,0,0,7,0,0,0,74.82,0,0,0,0,0,18,0,10.1007/BF02643289,http://link.springer.com/article/10.1007/BF02643289,19,0.263157895,Stress-induced γ→ α martensitic transformation in two carbon stainless steels. Application to trip steels,Abrassart,300,TEM
0.18,0,0,0,0,7,0,0,0,74.82,0,0,0,0,0,18,0,10.1007/BF02643289,http://link.springer.com/article/10.1007/BF02643289,28,0.178571429,Stress-induced γ→ α martensitic transformation in two carbon stainless steels. Application to trip steels,Abrassart,400,TEM
0.18,0,0,0,0,7,0,0,0,74.82,0,0,0,0,0,18,0,10.1007/BF02643289,http://link.springer.com/article/10.1007/BF02643289,45,0.111111111,Stress-induced γ→ α martensitic transformation in two carbon stainless steels. Application to trip steels,Abrassart,500,TEM
0.18,0,0,0,0,7,0,0,0,74.82,0,0,0,0,0,18,0,10.1007/BF02643289,http://link.springer.com/article/10.1007/BF02643289,48,0.0625,Stress-induced γ→ α martensitic transformation in two carbon stainless steels. Application to trip steels,Abrassart,600,TEM
0.047,0.205,0,0,0,3.71,0,0,0,71.218,0,0.05,6.74,0,0.32,17.48,0.23,10.1007/s11661-013-2175-z,http://link.springer.com/article/10.1007/s11661-013-2175-z,11.6,0.056,A Stacking Fault Energy Perspective into the Uniaxial Tensile Deformation Behavior and Microstructure of a Cr-Mn Austenitic Steel,"Barman, H.",273,XRD
0.047,0.205,0,0,0,3.71,0,0,0,71.218,0,0.05,6.74,0,0.32,17.48,0.23,10.1007/s11661-013-2175-z,http://link.springer.com/article/10.1007/s11661-013-2175-z,15.84,0,A Stacking Fault Energy Perspective into the Uniaxial Tensile Deformation Behavior and Microstructure of a Cr-Mn Austenitic Steel,"Barman, H.",293,XRD
0.047,0.205,0,0,0,3.71,0,0,0,71.218,0,0.05,6.74,0,0.32,17.48,0.23,10.1007/s11661-013-2175-z,http://link.springer.com/article/10.1007/s11661-013-2175-z,17.21,0,A Stacking Fault Energy Perspective into the Uniaxial Tensile Deformation Behavior and Microstructure of a Cr-Mn Austenitic Steel,"Barman, H.",323,XRD
0.047,0.205,0,0,0,3.71,0,0,0,71.218,0,0.05,6.74,0,0.32,17.48,0.23,10.1007/s11661-013-2175-z,http://link.springer.com/article/10.1007/s11661-013-2175-z,34.61,0,A Stacking Fault Energy Perspective into the Uniaxial Tensile Deformation Behavior and Microstructure of a Cr-Mn Austenitic Steel,"Barman, H.",423,XRD
0.047,0.205,0,0,0,3.71,0,0,0,71.218,0,0.05,6.74,0,0.32,17.48,0.23,10.1007/s11661-013-2175-z,http://link.springer.com/article/10.1007/s11661-013-2175-z,40.04,0.0937,A Stacking Fault Energy Perspective into the Uniaxial Tensile Deformation Behavior and Microstructure of a Cr-Mn Austenitic Steel,"Barman, H.",473,XRD
0.27,0.0043,0.005,0.005,0,10.93,0,0.006,0,79.7757,0,0,0.004,0,0.1,8.9,0,10.1007/BF02642861,http://link.springer.com/article/10.1007/BF02642861,42,0,The effect of austenite prestrain above the Md temperature on the martensitic transformation in Fe-Ni-Cr-C alloys,"Strife, J.R.",300,TEM
0.29,0.0027,0.008,0.006,0,4.84,0,0.005,0,78.4773,0,0,0.003,0,0.028,16.34,0,10.1007/BF02642861,http://link.springer.com/article/10.1007/BF02642861,17,0,The effect of austenite prestrain above the Md temperature on the martensitic transformation in Fe-Ni-Cr-C alloys,"Strife, J.R.",300,TEM
0.009,0.0032,0.004,0.005,0,11.87,0,0.028,0,71.5338,0,0,0.003,0,0.014,16.53,0,10.1007/BF02642861,http://link.springer.com/article/10.1007/BF02642861,22,0,The effect of austenite prestrain above the Md temperature on the martensitic transformation in Fe-Ni-Cr-C alloys,"Strife, J.R.",300,TEM
0.028,0,0,0,0,9.5,0,0,0,73.872,0,0,0,0,0,16.6,0,10.1007/BF02649799,http://link.springer.com/article/10.1007/BF02649799,19,0,On the Effect of Carbon on the Stacking Fault Energy of Austenitic Stainless Steels,"Brofman, P.J.",300,Literature Review
0.006,0,0,0,0,10,0,0,0,69.994,0,0,0,0,0,20,0,10.1007/BF02649799,http://link.springer.com/article/10.1007/BF02649799,23,0,On the Effect of Carbon on the Stacking Fault Energy of Austenitic Stainless Steels,"Brofman, P.J.",300,Literature Review
0.018,0,0,0,0,15,0,0,0,64.982,0,0,0,0,0,20,0,10.1007/BF02649799,http://link.springer.com/article/10.1007/BF02649799,32,0,On the Effect of Carbon on the Stacking Fault Energy of Austenitic Stainless Steels,"Brofman, P.J.",300,Literature Review
0.015,0,0,0,0,20,0,0,0,59.985,0,0,0,0,0,20,0,10.1007/BF02649799,http://link.springer.com/article/10.1007/BF02649799,40,0,On the Effect of Carbon on the Stacking Fault Energy of Austenitic Stainless Steels,"Brofman, P.J.",300,Literature Review
0.012,0,0,0,0,20,0,0,0,69.988,0,0,0,0,0,10,0,10.1007/BF02649799,http://link.springer.com/article/10.1007/BF02649799,53,0,On the Effect of Carbon on the Stacking Fault Energy of Austenitic Stainless Steels,"Brofman, P.J.",300,Literature Review
0.019,0,0,0,0,20,0,0,0,64.981,0,0,0,0,0,15,0,10.1007/BF02649799,http://link.springer.com/article/10.1007/BF02649799,40,0,On the Effect of Carbon on the Stacking Fault Energy of Austenitic Stainless Steels,"Brofman, P.J.",300,Literature Review
0.012,0,0,0,0,10,0,0,0,69.988,0,0,0,0,0,20,0,10.1007/BF02649799,http://link.springer.com/article/10.1007/BF02649799,23,0,On the Effect of Carbon on the Stacking Fault Energy of Austenitic Stainless Steels,"Brofman, P.J.",300,Literature Review
0.01,0,0,0,0,15,0,0,0,64.99,0,0,0,0,0,20,0,10.1007/BF02649799,http://link.springer.com/article/10.1007/BF02649799,34,0,On the Effect of Carbon on the Stacking Fault Energy of Austenitic Stainless Steels,"Brofman, P.J.",300,Literature Review
0.018,0,0,0,0,20,0,0,0,59.982,0,0,0,0,0,20,0,10.1007/BF02649799,http://link.springer.com/article/10.1007/BF02649799,38,0,On the Effect of Carbon on the Stacking Fault Energy of Austenitic Stainless Steels,"Brofman, P.J.",300,Literature Review
0.012,0,0,0,0,20,0,0,0,69.988,0,0,0,0,0,10,0,10.1007/BF02649799,http://link.springer.com/article/10.1007/BF02649799,48,0,On the Effect of Carbon on the Stacking Fault Energy of Austenitic Stainless Steels,"Brofman, P.J.",300,Literature Review
0.012,0,0,0,0,20,0,0,0,64.988,0,0,0,0,0,15,0,10.1007/BF02649799,http://link.springer.com/article/10.1007/BF02649799,44,0,On the Effect of Carbon on the Stacking Fault Energy of Austenitic Stainless Steels,"Brofman, P.J.",300,Literature Review
0.027,0,0,0,0,20,0,0,0,59.973,0,0,0,0,0,20,0,10.1007/BF02649799,http://link.springer.com/article/10.1007/BF02649799,43,0,On the Effect of Carbon on the Stacking Fault Energy of Austenitic Stainless Steels,"Brofman, P.J.",300,Literature Review
0.604,0.016,0,0,0,0,0,0,0,82.56,0,0,14.82,0,0,2,0,10.1016/j.scriptamat.2014.08.004,http://www.sciencedirect.com/science/article/pii/S1359646214003169,14.6,0.068493151,The effect of nitrogen on the stacking fault energy in Fe–15Mn–2Cr–0.6C–xN twinning-induced plasticity steels,"Lee, Seung-Joon",300,XRD
0.593,0.031,0,0,0,0,0,0,0,82.896,0,0,14.5,0,0,1.98,0,10.1016/j.scriptamat.2014.08.004,http://www.sciencedirect.com/science/article/pii/S1359646214003169,15.4,0.032467532,The effect of nitrogen on the stacking fault energy in Fe–15Mn–2Cr–0.6C–xN twinning-induced plasticity steels,"Lee, Seung-Joon",300,XRD
0.594,0.068,0,0,0,0,0,0,0,82.548,0,0,14.96,0,0,1.83,0,10.1016/j.scriptamat.2014.08.004,http://www.sciencedirect.com/science/article/pii/S1359646214003169,16.8,0.05952381,The effect of nitrogen on the stacking fault energy in Fe–15Mn–2Cr–0.6C–xN twinning-induced plasticity steels,"Lee, Seung-Joon",300,XRD
0.618,0.086,0,0,0,0,0,0,0,82.446,0,0,15.03,0,0,1.82,0,10.1016/j.scriptamat.2014.08.004,http://www.sciencedirect.com/science/article/pii/S1359646214003169,19.2,0.026041667,The effect of nitrogen on the stacking fault energy in Fe–15Mn–2Cr–0.6C–xN twinning-induced plasticity steels,"Lee, Seung-Joon",300,XRD
0.56,0.21,0,0,0,0,0,0,0,81.82,0,0,14.9,0,0,2.51,0,10.1016/j.scriptamat.2014.08.004,http://www.sciencedirect.com/science/article/pii/S1359646214003169,33.1,0.01510574,The effect of nitrogen on the stacking fault energy in Fe–15Mn–2Cr–0.6C–xN twinning-induced plasticity steels,"Lee, Seung-Joon",300,XRD
0.62,0.012,0.012,0.06,0,0,0,0.02,0,81.626,0,0,17.65,0,0,0,0,10.1016/j.actamat.2011.12.004,http://www.sciencedirect.com/science/article/pii/S1359645411008664,17,0.1765,Effects of Al on microstructure and tensile properties of C-bearing high Mn TWIP steel,"Jin, J. -E.",300,XRD
0.61,0.011,0.011,0.036,0,0,0,0.96,0,79.362,0,0,19.01,0,0,0,0,10.1016/j.actamat.2011.12.004,http://www.sciencedirect.com/science/article/pii/S1359645411008664,29,0.1724,Effects of Al on microstructure and tensile properties of C-bearing high Mn TWIP steel,"Jin, J. -E.",300,XRD
0.58,0.01,0.01,0.008,0,0,0,2.02,0,78.302,0,0,19.07,0,0,0,0,10.1016/j.actamat.2011.12.004,http://www.sciencedirect.com/science/article/pii/S1359645411008664,36,0.0278,Effects of Al on microstructure and tensile properties of C-bearing high Mn TWIP steel,"Jin, J. -E.",300,XRD
0.604,0.016,0,0,0,0,0,0,0,82.56,0,0,14.82,0,0,2,0,10.1016/j.scriptamat.2014.08.004,http://www.sciencedirect.com/science/article/pii/S1359646214003169,15.2,0.013157895,The effect of nitrogen on the stacking fault energy in Fe–15Mn–2Cr–0.6C–xN twinning-induced plasticity steels,"Lee, Seung-Joon",300,Neutron Diffraction
0.56,0.21,0,0,0,0,0,0,0,81.82,0,0,14.9,0,0,2.51,0,10.1016/j.scriptamat.2014.08.004,http://www.sciencedirect.com/science/article/pii/S1359646214003169,35.2,0.198863636,The effect of nitrogen on the stacking fault energy in Fe–15Mn–2Cr–0.6C–xN twinning-induced plasticity steels,"Lee, Seung-Joon",300,Neutron Diffraction
0.6,0,0,0,0,0,0,0,0,81.4,0,0,18,0,0,0,0,10.1016/j.actamat.2011.12.043,http://www.sciencedirect.com/science/article/pii/S1359645411009050,21,0.1951,In situ neutron diffraction study of the microstructure and tensile deformation behavior in Al-added high manganese austenitic steels,"Jeong, J.S.",300,Neutron Diffraction
0.6,0,0,0,0,0,0,1.5,0,79.9,0,0,18,0,0,0,0,10.1016/j.actamat.2011.12.043,http://www.sciencedirect.com/science/article/pii/S1359645411009050,28,0.0714,In situ neutron diffraction study of the microstructure and tensile deformation behavior in Al-added high manganese austenitic steels,"Jeong, J.S.",300,Neutron Diffraction
0.6,0,0,0,0,0,0,2,0,79.4,0,0,18,0,0,0,0,10.1016/j.actamat.2011.12.043,http://www.sciencedirect.com/science/article/pii/S1359645411009050,42.5,0.0706,In situ neutron diffraction study of the microstructure and tensile deformation behavior in Al-added high manganese austenitic steels,"Jeong, J.S.",300,Neutron Diffraction
0.6,0,0,0,0,0,0,3,0,78.4,0,0,18,0,0,0,0,10.1016/j.actamat.2011.12.043,http://www.sciencedirect.com/science/article/pii/S1359645411009050,44,0.0909,In situ neutron diffraction study of the microstructure and tensile deformation behavior in Al-added high manganese austenitic steels,"Jeong, J.S.",300,Neutron Diffraction
0.604,0.016,0,0,0,0,0,0,0,82.56,0,0,14.82,0,0,2,0,10.1016/j.scriptamat.2014.08.004,http://www.sciencedirect.com/science/article/pii/S1359646214003169,13.9,0.071942446,The effect of nitrogen on the stacking fault energy in Fe–15Mn–2Cr–0.6C–xN twinning-induced plasticity steels,"Lee, Seung-Joon",300,TEM
0.593,0.031,0,0,0,0,0,0,0,82.896,0,0,14.5,0,0,1.98,0,10.1016/j.scriptamat.2014.08.004,http://www.sciencedirect.com/science/article/pii/S1359646214003169,15.3,0.065359477,The effect of nitrogen on the stacking fault energy in Fe–15Mn–2Cr–0.6C–xN twinning-induced plasticity steels,"Lee, Seung-Joon",300,TEM
0.594,0.068,0,0,0,0,0,0,0,82.548,0,0,14.96,0,0,1.83,0,10.1016/j.scriptamat.2014.08.004,http://www.sciencedirect.com/science/article/pii/S1359646214003169,17.5,0.085714286,The effect of nitrogen on the stacking fault energy in Fe–15Mn–2Cr–0.6C–xN twinning-induced plasticity steels,"Lee, Seung-Joon",300,TEM
0.618,0.086,0,0,0,0,0,0,0,82.446,0,0,15.03,0,0,1.82,0,10.1016/j.scriptamat.2014.08.004,http://www.sciencedirect.com/science/article/pii/S1359646214003169,20.3,0.049261084,The effect of nitrogen on the stacking fault energy in Fe–15Mn–2Cr–0.6C–xN twinning-induced plasticity steels,"Lee, Seung-Joon",300,TEM
0.56,0.21,0,0,0,0,0,0,0,81.82,0,0,14.9,0,0,2.51,0,10.1016/j.scriptamat.2014.08.004,http://www.sciencedirect.com/science/article/pii/S1359646214003169,24.3,0.082304527,The effect of nitrogen on the stacking fault energy in Fe–15Mn–2Cr–0.6C–xN twinning-induced plasticity steels,"Lee, Seung-Joon",300,TEM
0.15,0,0,0,0,0,0,0,0,84.85,0,0,15,0,0,0,0,0,http://onlinelibrary.wiley.com/doi/10.1002/9781119223399.ch107/summary,3.62,0,Design of High Manganese Steels: Calculation of Sfe and Ms Temperature,Kumar,300,XRD
0.5,0,0,0,0,0,0,0,0,81.5,0,0,18,0,0,0,0,0,http://onlinelibrary.wiley.com/doi/10.1002/9781119223399.ch107/summary,8.49,0,Design of High Manganese Steels: Calculation of Sfe and Ms Temperature,Kumar,300,XRD
0.37,0,0,0,0,0,0,4,0,75.4,0,0,20,0,0.23,0,0,0,http://onlinelibrary.wiley.com/doi/10.1002/9781119223399.ch107/summary,27.14,0,Design of High Manganese Steels: Calculation of Sfe and Ms Temperature,Kumar,300,XRD
0.5,0,0,0,0,0,0,2,0,75.5,0,0,22,0,0,0,0,0,http://onlinelibrary.wiley.com/doi/10.1002/9781119223399.ch107/summary,24.84,0,Design of High Manganese Steels: Calculation of Sfe and Ms Temperature,Kumar,300,XRD
0.35,0,0,0,0,0,0,0,0,74.65,0,0,25,0,0,0,0,0,http://onlinelibrary.wiley.com/doi/10.1002/9781119223399.ch107/summary,4.198,0,Design of High Manganese Steels: Calculation of Sfe and Ms Temperature,Kumar,300,XRD
0.35,0,0,0,0,0,0,1.5,0,73.15,0,0,25,0,0,0,0,0,http://onlinelibrary.wiley.com/doi/10.1002/9781119223399.ch107/summary,8.1,0,Design of High Manganese Steels: Calculation of Sfe and Ms Temperature,Kumar,300,XRD
0.5,0,0,0,0,0,0,1.5,0,73,0,0,25,0,0,0,0,0,http://onlinelibrary.wiley.com/doi/10.1002/9781119223399.ch107/summary,14.85,0,Design of High Manganese Steels: Calculation of Sfe and Ms Temperature,Kumar,300,XRD
0.5,0,0,0,0,0,0,3,0,68.5,0,0,26,0,2,0,0,0,http://onlinelibrary.wiley.com/doi/10.1002/9781119223399.ch107/summary,32.22,0,Design of High Manganese Steels: Calculation of Sfe and Ms Temperature,Kumar,300,XRD
